Shelter,Plot,Subplot,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
1,1,C,KAN,12.2,12.1,8.1,10.4,11.3,9:30
1,2,D,KAN,13.6,108,7.5,11.2,10.9,
1,3,B,K/W,10.5,11.6,10.6,12.1,11.9,
1,3,D,LUC,4.8,4.7,2.6,4.7,5.5,
1,4,C,LUC,2.7,1.3,1.8,2.6,3.7,
1,4,D,K/W,7.6,7.2,8.7,4.9,12.3,
1,5,A,K/W,11.8,6.8,9.7,9.5,8.7,
1,5,B,LUC,3.3,2.2,1.1,4.4,4.2,
1,6,A,LUC,1.9,1.9,2.2,2.6,7.5,
1,6,C,K/W,8.6,9,8.4,9.3,11,
1,7,C,RHO,5.6,6.1,5.3,4.4,3.6,
1,7,D,DIG,7.3,2.7,7.3,9.2,9.5,
1,8,A,DIG,8.9,7.8,7.8,9,3.4,
1,8,D,RHO,4.8,2.7,4.9,3.9,5.3,
2,1,A,DIG,4.9,5.4,9.7,5.3,9.8,
2,1,C,RHO,4.9,4.1,3.5,5.5,8.4,
2,2,A,RHO,7.1,7.5,6.9,5.7,2.2,
2,2,B,DIG,6.2,5.1,6.1,2.7,9,
2,3,B,LUC,3.9,1.6,1.5,1.5,1.6,
2,3,D,K/W,7.4,8.4,8,5.9,8,
2,4,A,LUC,3.1,2.4,1.8,3.4,0.7,
2,4,D,K/W,7.9,7.9,7.9,10.9,10.5,
2,5,C,LUC,7.7,7.2,5.2,6.8,4.4,
2,5,D,K/W,9,8.4,9.2,12.8,10.3,
2,6,A,LUC,3.4,5.8,1.4,0.8,5.3,
2,6,B,K/W,8.5,7.4,7.8,5.3,9.2,
2,7,C,KAN,7.9,9.6,7.4,8.3,11.7,
2,8,D,KAN,9.4,6.8,8.1,10.1,7.6,
3,1,D,KAN,7.3,7.9,4.3,7.2,7.8,
3,2,A,KAN,7,8.6,7.1,11.2,8.7,
3,3,B,LUC,4,3.6,2.6,3.5,1.5,
3,3,C,K/W,8.1,9.8,9.9,5.1,9.6,
3,4,A,K/W,9.3,6.1,6.4,8.6,9.8,10:13
3,4,C,LUC,2.5,1.9,4.1,3.3,6.2,
3,5,B,K/W,9.4,9.9,5.7,5.2,9.5,
3,5,C,LUC,4.4,6.5,4,3,8.2,
3,6,C,LUC,5.2,5.1,5.7,3.7,5.6,
3,6,D,K/W,10.1,8.1,10.3,10.9,9.9,
3,7,A,RHO,7.3,2.4,3,2.5,2.8,
3,7,D,DIG,5.3,4.3,8.4,7,9.8,
3,8,B,RHO,5.2,4.1,4.5,4.1,2.6,
3,8,D,DIG,5.3,6.2,9.3,9.8,8.9,
4,1,D,KAN,9.4,8.7,9.6,9,7.2,
4,2,C,KAN,8.7,9.3,9.8,8.4,9.5,
4,3,A,K/W,11.1,8.4,7.2,8.6,8.7,
4,3,D,LUC,3.1,3.6,2.6,3.4,4.6,
4,4,B,K/W,10.9,8.7,8.8,9.3,12.1,
4,4,D,LUC,2.5,3.2,3.1,3.9,6.7,
4,5,C,LUC,2.8,3.9,2.9,5.7,2.8,
4,5,D,K/W,12.7,11.1,6.2,8.6,10,
4,6,B,K/W,6.7,6.5,8.5,8.5,9.1,
4,6,D,LUC,2.5,2.5,2.6,5.7,4.3,
4,7,A,DIG,3.9,3.7,3.1,4.3,4,
4,7,D,RHO,3.5,2.9,3.2,2.5,4.2,
4,8,B,RHO,4.7,3.9,3.5,1.3,0.9,
4,8,C,DIG,4.3,3.2,3,3.4,3.6,
5,1,A,RHO,5.6,2.8,2.3,2.9,1.5,
5,1,B,DIG,4.8,7.3,6,3.6,3.8,
5,2,B,DIG,5.9,4.4,6.1,5.2,4.8,
5,2,D,RHO,3.5,2.8,5.6,4.3,1.7,
5,3,B,K/W,8.5,6.2,6,4.8,4.3,
5,3,C,LUC,2,2.4,2.1,1.8,6.3,
5,4,C,K/W,9.8,7.6,9.3,7.9,9.2,
5,4,D,LUC,2.3,2.6,3.4,3.2,5.3,
5,5,A,K/W,7.3,7.5,8.6,3.1,5.9,10:56
5,5,B,LUC,2,1.4,1.5,1.8,2.3,
5,6,A,LUC,1.6,1.9,1.8,3.4,3.9,
5,6,B,K/W,10.3,10,10.2,9.6,7.8,
5,7,C,KAN,7.5,6,7.5,8.1,6.3,
5,8,D,KAN,7.6,8.6,9.7,7.7,7.5,
6,1,B,KAN,9.2,8.7,10.3,7.9,9.9,
6,2,A,KAN,6.8,8.6,11.8,9,10.5,
6,3,A,K/W,8.1,9.3,12.5,6.1,8.1,
6,3,B,LUC,2.7,3.1,1.9,2.7,1.2,
6,4,B,K/W,10.4,9.4,6.7,7.6,5.5,
6,4,D,LUC,4.9,7.5,5.7,7.6,8.1,
6,5,A,LUC,1.5,3.3,1.5,2.9,1.4,
6,5,C,K/W,7.9,6.9,9.1,8.7,9.4,
6,6,A,K/W,9.8,10.8,11.8,7.5,8.9,
6,6,D,LUC,3.7,6.3,4.6,6.9,6.6,
6,7,A,RHO,3.6,8.3,5.1,1.8,2.2,
6,7,B,DIG,5.7,4.8,4.7,6.6,3.9,
6,8,B,DIG,5.1,2.8,3.8,5,5.7,
6,8,D,RHO,3.9,2.7,4.2,3.9,4.1,
